anio,mes,ipc,ipc_vm,ipc_vd,ipc_vi,ipc_p12
2001,Dic,34.1581,0.0024,0.0438,0.0438,0.0888
2002,Ene,34.3513,0.0057,0.0057,0.0241,0.0810
2002,Feb,34.3655,0.0004,0.0061,0.0232,0.0732
2002,Mar,34.7575,0.0114,0.0175,0.0392,0.0673
2002,Abr,34.9933,0.0068,0.0245,0.0398,0.0610
2002,May,34.8683,-0.0036,0.0208,0.0334,0.0541
2002,Jun,34.9081,0.0011,0.0220,0.0405,0.0493
2002,Jul,35.0473,0.0040,0.0260,0.0471,0.0456
2002,Ago,35.3598,0.0089,0.0352,0.0487,0.0424
2002,Sep,35.8569,0.0141,0.0497,0.0539,0.0420
2002,Oct,36.8995,0.0291,0.0803,0.0818,0.0441
2002,Nov,37.0757,0.0048,0.0854,0.0880,0.0471
2002,Dic,37.7489,0.0182,0.1051,0.1051,0.0522
2003,Ene,38.9904,0.0329,0.0329,0.1350,0.0616
2003,Feb,40.5415,0.0398,0.0740,0.1797,0.0747
2003,Mar,41.2602,0.0177,0.0930,0.1871,0.0872
2003,Abr,41.3795,0.0029,0.0962,0.1825,0.0992
2003,May,41.8738,0.0119,0.1093,0.2009,0.1133
2003,Jun,44.0243,0.0514,0.1662,0.2611,0.1318
2003,Jul,45.6351,0.0366,0.2089,0.3021,0.1531
2003,Ago,47.0328,0.0306,0.2459,0.3301,0.1766
2003,Sep,47.7401,0.0150,0.2647,0.3314,0.2000
2003,Oct,48.9787,0.0259,0.2975,0.3274,0.2208
2003,Nov,51.9247,0.0601,0.3755,0.4005,0.2472
2003,Dic,53.8507,0.0371,0.4266,0.4266,0.2745
2004,Ene,58.8222,0.0923,0.0923,0.5086,0.3068
2004,Feb,65.4413,0.1125,0.2152,0.6142,0.3453
2004,Mar,66.9754,0.0234,0.2437,0.6232,0.3836
2004,Abr,67.4413,0.0070,0.2524,0.6298,0.4218
2004,May,69.2139,0.0263,0.2853,0.6529,0.4599
2004,Jun,70.5917,0.0199,0.3109,0.6035,0.4883
2004,Jul,71.0264,0.0062,0.3189,0.5564,0.5085
2004,Ago,71.4127,0.0054,0.3261,0.5184,0.5224
2004,Sep,70.6031,-0.0113,0.3111,0.4789,0.5319
2004,Oct,71.5548,0.0135,0.3288,0.4609,0.5399
2004,Nov,70.3730,-0.0165,0.3068,0.3553,0.5315
2004,Dic,69.3276,-0.0149,0.2874,0.2874,0.5146
2005,Ene,69.8730,0.0079,0.0079,0.1879,0.4809
2005,Feb,69.9014,0.0004,0.0083,0.0682,0.4258
2005,Mar,69.8503,-0.0007,0.0075,0.0429,0.3707
2005,Abr,70.0690,0.0031,0.0107,0.0390,0.3190
2005,May,69.8588,-0.0030,0.0077,0.0093,0.2659
2005,Jun,69.8986,0.0006,0.0082,-0.0098,0.2164
2005,Jul,70.3162,0.0060,0.0143,-0.0100,0.1725
2005,Ago,71.2565,0.0134,0.0278,-0.0022,0.1338
2005,Sep,73.5803,0.0326,0.0613,0.0422,0.1038
2005,Oct,74.3985,0.0111,0.0731,0.0397,0.0759
2005,Nov,73.7735,-0.0084,0.0641,0.0483,0.0555
2005,Dic,74.4837,0.0096,0.0744,0.0744,0.0419
2006,Ene,75.6371,0.0155,0.0155,0.0825,0.0350
2006,Feb,75.5461,-0.0012,0.0143,0.0808,0.0362
2006,Mar,75.6172,0.0009,0.0152,0.0826,0.0395
