anio,mes,tc_compra_pm,tc_venta_pm,dep_interanual_ven,dep_interanual_comp,tc_real,tc_real_depr
2001,Dic,,,,,99.90,
2002,Ene,17.05,17.05,,,100.00,
2002,Feb,17.15,17.15,,,101.00,
2002,Mar,17.15,17.15,,,100.40,
2002,Abr,17.56,17.70,,,102.70,
2002,May,17.56,17.76,,,103.00,
2002,Jun,17.56,17.76,,,103.00,
2002,Jul,17.56,17.76,,,102.70,
2002,Ago,17.56,17.76,,,102.10,
2002,Sep,17.56,17.76,,,100.80,
2002,Oct,17.56,17.76,,,98.20,
2002,Nov,17.56,17.76,,,97.70,
2002,Dic,17.56,17.76,,,95.70,
2003,Ene,17.56,17.76,0.04,,93.10,0.07
2003,Feb,18.17,18.37,0.07,,93.40,0.08
2003,Mar,22.72,22.92,0.34,,115.40,-0.13
2003,Abr,23.78,23.98,0.36,,120.20,-0.15
2003,May,25.60,25.80,0.45,,127.60,-0.19
2003,Jun,28.89,29.09,0.64,,137.20,-0.25
2003,Jul,34.45,34.85,0.96,,157.90,-0.35
2003,Ago,33.72,34.13,0.92,,150.60,-0.32
2003,Sep,31.70,32.25,0.82,,139.90,-0.28
2003,Oct,34.91,35.23,0.98,,150.00,-0.35
2003,Nov,39.74,40.24,1.27,,160.70,-0.39
2003,Dic,37.44,37.82,1.13,,145.80,-0.34
2004,Ene,46.09,46.64,1.63,,165.10,-0.44
2004,Feb,49.23,50.44,1.75,,159.40,-0.41
2004,Mar,46.52,47.18,1.06,,148.10,-0.22
2004,Abr,44.35,44.81,0.87,,140.70,-0.15
2004,May,46.92,47.69,0.85,,145.80,-0.12
2004,Jun,48.12,48.67,0.67,,147.10,-0.07
2004,Jul,44.84,45.56,0.31,,136.00,0.16
2004,Ago,41.25,42.11,0.23,,124.50,0.21
2004,Sep,36.95,37.62,0.17,,113.10,0.24
2004,Oct,32.27,32.98,-0.06,,97.90,0.53
2004,Nov,29.56,30.13,-0.25,,91.30,0.76
2004,Dic,28.86,29.33,-0.22,,90.10,0.62
2005,Ene,29.84,30.40,-0.35,,92.60,0.78
2005,Feb,28.85,29.22,-0.42,,90.10,0.77
2005,Mar,28.30,28.60,-0.39,,89.10,0.66
2005,Abr,28.25,28.54,-0.36,,89.30,0.58
2005,May,28.70,28.91,-0.39,,90.90,0.60
2005,Jun,28.90,29.08,-0.40,,91.50,0.61
2005,Jul,28.93,29.06,-0.36,,91.50,0.49
2005,Ago,29.00,29.13,-0.31,,90.90,0.37
2005,Sep,30.42,30.82,-0.18,,93.50,0.21
2005,Oct,32.41,32.70,-0.01,,98.70,-0.01
2005,Nov,33.25,33.54,0.11,,101.30,-0.10
2005,Dic,33.12,33.39,0.14,,99.60,-0.10
2006,Ene,34.56,34.84,0.15,,103.10,-0.10
2006,Feb,34.17,34.44,0.18,,102.30,-0.12
2006,Mar,32.56,32.85,0.15,,97.90,-0.09
2006,Abr,32.11,32.33,0.13,,96.80,-0.08
2006,May,32.49,32.73,0.13,,97.90,-0.07
2006,Jun,32.77,32.94,0.13,,98.10,-0.07
2006,Jul,32.75,32.91,0.13,,97.50,-0.06
2006,Ago,32.63,32.80,0.13,,97.20,-0.06
2006,Sep,32.95,33.12,0.07,,98.70,-0.05
2006,Oct,33.47,33.66,0.03,,99.60,-0.01
2006,Nov,33.56,33.69,0.00,,99.10,0.02
2006,Dic,33.09,33.30,0.00,,97.10,0.03
2007,Ene,33.70,33.90,-0.03,,98.30,0.05
2007,Feb,33.36,33.51,-0.03,,97.60,0.05
2007,Mar,32.79,32.96,0.00,,96.00,0.02
2007,Abr,32.23,32.40,0.00,,94.20,0.03
2007,May,32.14,32.29,-0.01,,93.50,0.05
2007,Jun,32.42,32.57,-0.01,,94.10,0.04
2007,Jul,32.99,33.14,0.01,,95.50,0.02
2007,Ago,32.90,33.05,0.01,,95.70,0.02
2007,Sep,33.31,33.46,0.01,,96.00,0.03
2007,Oct,33.46,33.59,0.00,,96.20,0.04
2007,Nov,33.41,33.53,0.00,,94.90,0.04
2007,Dic,33.52,33.66,0.01,,94.10,0.03
2008,Ene,33.76,33.89,0.00,,94.20,0.04
2008,Feb,33.83,33.96,0.01,,94.70,0.03
2008,Mar,33.92,34.04,0.03,,94.10,0.02
2008,Abr,34.03,34.14,0.05,,93.30,0.01
2008,May,34.01,34.13,0.06,,93.70,0.00
2008,Jun,34.16,34.27,0.05,,92.80,0.01
2008,Jul,34.27,34.39,0.04,,92.10,0.04
2008,Ago,34.68,34.80,0.05,,92.80,0.03
2008,Sep,34.83,34.95,0.04,,91.90,0.04
2008,Oct,34.99,35.09,0.04,,92.40,0.04
2008,Nov,35.19,35.32,0.05,,94.20,0.01
2008,Dic,35.26,35.39,0.05,,94.80,-0.01
2009,Ene,35.37,35.49,0.05,,95.20,-0.01
2009,Feb,35.56,35.65,0.05,,95.90,-0.01
2009,Mar,35.67,35.77,0.05,,96.30,-0.02
2009,Abr,35.83,35.92,0.05,,96.80,-0.04
2009,May,35.95,36.04,0.06,,97.30,-0.04
2009,Jun,35.92,36.00,0.05,,96.00,-0.03
2009,Jul,35.98,36.07,0.05,,95.90,-0.04
2009,Ago,36.03,36.10,0.04,,95.40,-0.03
2009,Sep,36.06,36.13,0.03,,95.40,-0.04
